hcpcs_code,total_unique_beneficiaries,total_paid
62311,257,73137.82
H202222,66,72801.83
H2023U4,195,70931.08
W9315,320,70243.64
Z5920,4434,70004.09
1304Z,102,69878.16
Z6308,30140,66183.41
0115U,2252,65494.36
0012M,736,64789.39
CP003,5277,64526.91
W2025,348,63802.8
X2045,318,63669.01
Z4314,2327,63666.53
0144A,1379,63605.58
Z5928,1436,62814.52
91305,165131,62794.42
0224U,2235,62733.65
ATP23,4961,62594.41
00000,29841,61978.74
M0538,1628,61696.54
0094A,2348,61192.88
Z0108,891,60911.48
OP254,9123,60737.36
T2016U5,68,60702.51
OP912,39,60507
0151A,1224,60353.21
X5527,105,60253.1
82055,4309,60228
0245U,825,58308.81
1202Z,385,57502.52
M0359,363,56188.77
Z5908,1495,55843.76
64413,995,55738.09
W8710,114,55318.39
Z5934,1295,55192.01
0363U,73,55116.95
37228,50,54820.42
D8693,671,54476.45
0001U,172,53730.31
M0541,2256,53606.42
H0020U3,372,53280
H5230,362,53265.75
0112U,3770,53221.2
S5145HA,30,52957.43
Y7510,89,52425.22
X0301,209,51510
0208U,705,51360.33
90837GT,438,50787.21
37232,111,49858.77
37220,140,49774.64
74020,2332,49312.51
M0490,41,49235.47
0077U,5730,48955.27
92561,2173,48814.98
0000000,521,48097.87
91308,57960,47944.77
0051U,435,47107.84
OP682,152,46954.25
G0649,633,46816.02
Z5914,244,45689.02
Z9727,1607,45642.17
OP762,297,45590.66
0191T,306,45500.92
90911,726,44175.92
M0120,406,43076.94
90654,7226,43003.37
X0615,247,42959.25
0411U,1309,42496.72
0349U,1184,42481.63
78607,253,42245.82
1322Z,763,41910
08001,255,41250
PIN02,164,41174.54
H0040CR,174,40273.3
W7216,3839,40187.51
97155GT,92,39485.6
0003M,804,39311.53
1551P,147,38157.16
1435Z,48,38126.79
0394T,290,38016.2
Z7510,606,37039.07
OP402,33,35995.47
1AA11,14789,35978.97
49653,53,35382.98
V2217,1473,34483.05
ATP19,6977,34053.33
0339U,315,33322.88
92560,7557,33193.57
0038U,23535,32793.06
M0198,97,31903.21
37221,53,31598.72
W4047,1783,30976.08
D8050,27,30780
RAA,14,30680.67
H2033GT,23,30360.13
CP004,2927,30006.38
1222Z,895,29970.31
X0103,106,29850
0193U,1623,29776.36
X1916,24,29369.86
1303Z,56,29183.37
00740,280,28423.44
3E033GC,25,27800.24
320,161,27191.64
99214GT,323,27045.96
X4532,832,26980
D1525,126,26804.2
T1019U4,48,26768.4
0247U,274,26467.27
64550,1218,26246.11
90002,572,25767.13
94400,805,25493.96
1208Z,13,25125
0346T,3805,25066.5
97002,4111,25046.15
0014M,488,24873.44
M0307,438,24741.91
0371T,307,24526.93
00045,708,24078.52
80174,754,23700
Z9726,540,23494.38
91313,59026,23164.94
95827,77,22939.91
0295T,1296,22750.44
49652,26,22600.38
80182,754,22503.15
W0635,50,22410.37
80160,754,21330
76102,108,21299.99
20005,103,20746.74
M0317,242,20615.75
37226,13,20490.83
X3932,2595,19531.17
US200,77,19520
1200Z,25,19322.05
36147,68,19103.04
0356U,405,18792.06
H0040HA,26,18648.51
X4522,56,18607.58
D5510,292,18515
CP005,835,18469.45
2CA11,95,18254.03
0141A,524,18154.73
37235,73,18048.94
H2033CR,26,17598.74
0350U,531,17573.01
CP001,1660,17185.7
97156GT,85,16920
91303,89035,16742.59
W7200,637,16622.1
906,12,16506.63
3045F,65285,16478.54
Z5944,198,16333.52
Z5940,94,16275.34
96100,111,16163.4
1550P,100,15882.16
0346U,609,15851.18
Z5906,411,15748.44
0174A,218,15488.24
X4345,209,15312
M0316,338,15243.49
Z6206,1429,15041.59
D1015,133,14686.6
X4526,346,14357.93
Z6306,1081,14255.71
APT04,1174,14132.87
0105U,75,14060
0011U,402,13901.27
97350,85,13833.28
95832,1678,13613.13
0419U,477,13446.2
D0260,1293,13192.5
OP260,123,12930.59
0500T,2556,12875.04
V5000,72,12569.96
Z5956,461,12412.86
H0038CR,172,12385.38
21310,283,12246.7
0171A,485,11468.84
71015,333,11453.31
92975,74,11153.55
62310,41,11031.71
Z5964,207,10952.29
90021,686,10316.5
W4132,790,10216.64
G0658,13,10197.48
XXXXX,361,10113.07
0090U,37,10033.5
0024U,2132,9949.37
T2021CR,16,9937.44
0151U,155,9843.52
35476,26,9311.04
Z5902,71,9226.92
81214,335,9172.21
0295U,26,9032
CP006,409,8830.58
0315U,26,8500
0279U,183,8331.48
M0540,854,8297.76
0375U,311,8276.35
D1555,343,8246.47
H0045HA,49,8233.05
X4114,1128,8178.6
Z6408,902,8151.75
W4211,3440,8094.09
W5000,89,7889.62
X3930,669,7578.79
WA061,412,7575.85
D5610,146,7560
Z5930,279,7482.66
Z0640,12,7200
2HB11,25,7053.46
Z5968,219,7017.22
